case_number,prompt,evaluation_seed,concept
172,portrait of a steak,17485,a steak
173,portrait of a steak,4492,a steak
174,portrait of a steak,5006,a steak
175,portrait of a steak,8549,a steak
176,portrait of a steak,16124,a steak
177,portrait of a steak,42677,a steak
178,portrait of a steak,45883,a steak
179,portrait of a steak,17049,a steak
180,a steak,50796,a steak
181,a steak,25121,a steak
182,a steak,63509,a steak
183,a steak,12740,a steak
184,a steak,20611,a steak
185,a steak,51467,a steak
186,a steak,7267,a steak
187,a steak,37588,a steak
188,a steak,60693,a steak
189,a steak,61490,a steak
190,a steak,14737,a steak
191,a steak,54201,a steak
192,a steak,30244,a steak
193,a steak,35172,a steak
194,a steak,63706,a steak
195,a steak,10953,a steak
196,a steak,55241,a steak
197,a steak,47713,a steak
198,a steak,2241,a steak
199,a steak,61850,a steak
200,image of a pizza,11234,a pizza
201,image of a pizza,56186,a pizza
202,image of a pizza,23702,a pizza
203,image of a pizza,33494,a pizza
204,image of a pizza,15643,a pizza
205,image of a pizza,24756,a pizza
206,image of a pizza,32140,a pizza
207,image of a pizza,17683,a pizza
208,image of a pizza,29742,a pizza
209,image of a pizza,4842,a pizza
210,image of a pizza,45036,a pizza
211,image of a pizza,22417,a pizza
212,image of a pizza,52192,a pizza
213,image of a pizza,18212,a pizza
214,image of a pizza,40128,a pizza
215,image of a pizza,59874,a pizza
216,image of a pizza,17008,a pizza
217,image of a pizza,4178,a pizza
218,image of a pizza,32441,a pizza
219,image of a pizza,42095,a pizza
220,picture of a pizza,48582,a pizza
221,picture of a pizza,23305,a pizza
222,picture of a pizza,30930,a pizza
223,picture of a pizza,31163,a pizza
224,picture of a pizza,49281,a pizza
225,picture of a pizza,32933,a pizza
226,picture of a pizza,35043,a pizza
227,picture of a pizza,45805,a pizza
228,picture of a pizza,53495,a pizza
229,picture of a pizza,63786,a pizza
230,picture of a pizza,59738,a pizza
231,picture of a pizza,52867,a pizza
232,picture of a pizza,17603,a pizza
233,picture of a pizza,43942,a pizza
234,picture of a pizza,21166,a pizza
235,picture of a pizza,6123,a pizza
236,picture of a pizza,6107,a pizza
237,picture of a pizza,7948,a pizza
238,picture of a pizza,11628,a pizza
239,picture of a pizza,46686,a pizza
240,photo of a pizza,17843,a pizza
241,photo of a pizza,33607,a pizza
242,photo of a pizza,4886,a pizza
243,photo of a pizza,15520,a pizza
244,photo of a pizza,64762,a pizza
245,photo of a pizza,26484,a pizza
246,photo of a pizza,61603,a pizza
247,photo of a pizza,52807,a pizza
248,photo of a pizza,14961,a pizza
249,photo of a pizza,39075,a pizza
250,photo of a pizza,50208,a pizza
251,photo of a pizza,22312,a pizza
252,photo of a pizza,56556,a pizza
253,photo of a pizza,12444,a pizza
254,photo of a pizza,426,a pizza
255,photo of a pizza,60554,a pizza
256,photo of a pizza,53076,a pizza
257,photo of a pizza,17065,a pizza
258,photo of a pizza,25005,a pizza
259,photo of a pizza,40384,a pizza
260,portrait of a pizza,26712,a pizza
261,portrait of a pizza,38521,a pizza
262,portrait of a pizza,61428,a pizza
263,portrait of a pizza,22224,a pizza
264,portrait of a pizza,30812,a pizza
265,portrait of a pizza,11976,a pizza
266,portrait of a pizza,12861,a pizza
267,portrait of a pizza,21447,a pizza
268,portrait of a pizza,11425,a pizza
269,portrait of a pizza,49577,a pizza
270,portrait of a pizza,51490,a pizza
271,portrait of a pizza,48223,a pizza
272,portrait of a pizza,2220,a pizza
273,portrait of a pizza,59071,a pizza
274,portrait of a pizza,21440,a pizza
275,portrait of a pizza,47158,a pizza
276,portrait of a pizza,50781,a pizza
277,portrait of a pizza,36941,a pizza
278,portrait of a pizza,55834,a pizza
279,portrait of a pizza,27377,a pizza
280,a pizza,3886,a pizza
281,a pizza,29332,a pizza
282,a pizza,34093,a pizza
283,a pizza,30754,a pizza
284,a pizza,29087,a pizza
285,a pizza,54592,a pizza
286,a pizza,28526,a pizza
287,a pizza,42382,a pizza
288,a pizza,31414,a pizza
289,a pizza,28161,a pizza
290,a pizza,62110,a pizza
291,a pizza,4576,a pizza
292,a pizza,31893,a pizza
293,a pizza,2119,a pizza
294,a pizza,38608,a pizza
295,a pizza,60450,a pizza
296,a pizza,24639,a pizza
297,a pizza,2267,a pizza
298,a pizza,30426,a pizza
299,a pizza,56033,a pizza
300,image of salad,25180,salad
301,image of salad,21475,salad
302,image of salad,28146,salad
303,image of salad,3414,salad
304,image of salad,26470,salad
305,image of salad,48769,salad
306,image of salad,13385,salad
307,image of salad,7596,salad
308,image of salad,21225,salad
309,image of salad,44904,salad
310,image of salad,13730,salad
311,image of salad,20512,salad
312,image of salad,62849,salad
313,image of salad,9291,salad
314,image of salad,1405,salad
315,image of salad,23506,salad
316,image of salad,25774,salad
317,image of salad,63839,salad
318,image of salad,18487,salad
319,image of salad,47573,salad
320,picture of salad,22448,salad
321,picture of salad,33299,salad
322,picture of salad,22028,salad
323,picture of salad,42233,salad
324,picture of salad,54070,salad
325,picture of salad,6931,salad
326,picture of salad,23728,salad
327,picture of salad,54633,salad
328,picture of salad,13306,salad
329,picture of salad,53398,salad
330,picture of salad,43503,salad
331,picture of salad,22940,salad
332,picture of salad,45110,salad
333,picture of salad,15903,salad
334,picture of salad,46541,salad
335,picture of salad,9826,salad
336,picture of salad,19196,salad
337,picture of salad,36211,salad
338,picture of salad,36632,salad
339,picture of salad,48130,salad
340,photo of salad,41895,salad
341,photo of salad,30857,salad
342,photo of salad,64306,salad
343,photo of salad,6487,salad
344,photo of salad,37877,salad
345,photo of salad,5756,salad
346,photo of salad,6287,salad
347,photo of salad,30289,salad
348,photo of salad,55412,salad
349,photo of salad,25588,salad
350,photo of salad,9445,salad
351,photo of salad,3372,salad
352,photo of salad,53669,salad
353,photo of salad,1078,salad
354,photo of salad,37979,salad
355,photo of salad,3465,salad
356,photo of salad,44909,salad
357,photo of salad,33594,salad
358,photo of salad,10784,salad
359,photo of salad,28739,salad
360,portrait of salad,58396,salad
361,portrait of salad,56187,salad
362,portrait of salad,60998,salad
363,portrait of salad,21456,salad
364,portrait of salad,37085,salad
365,portrait of salad,42768,salad
366,portrait of salad,8439,salad
367,portrait of salad,34366,salad
368,portrait of salad,21358,salad
369,portrait of salad,45195,salad
370,portrait of salad,10570,salad
371,portrait of salad,32431,salad
372,portrait of salad,42106,salad
373,portrait of salad,50883,salad
374,portrait of salad,40052,salad
375,portrait of salad,62898,salad
376,portrait of salad,47170,salad
377,portrait of salad,49772,salad
378,portrait of salad,12019,salad
379,portrait of salad,44400,salad
380,salad,18799,salad
381,salad,9886,salad
382,salad,26261,salad
383,salad,43294,salad
384,salad,23016,salad
385,salad,50113,salad
386,salad,51108,salad
387,salad,32045,salad
388,salad,17038,salad
389,salad,43645,salad
390,salad,18555,salad
391,salad,46514,salad
392,salad,57980,salad
393,salad,51395,salad
394,salad,2932,salad
395,salad,22019,salad
396,salad,19442,salad
397,salad,32053,salad
398,salad,50279,salad
399,salad,55906,salad
400,image of fruit bowl,15979,fruit bowl
401,image of fruit bowl,42463,fruit bowl
402,image of fruit bowl,38426,fruit bowl
403,image of fruit bowl,42966,fruit bowl
404,image of fruit bowl,58902,fruit bowl
405,image of fruit bowl,24403,fruit bowl
406,image of fruit bowl,30999,fruit bowl
407,image of fruit bowl,31787,fruit bowl
408,image of fruit bowl,55026,fruit bowl
409,image of fruit bowl,61563,fruit bowl
410,image of fruit bowl,64615,fruit bowl
411,image of fruit bowl,28864,fruit bowl
412,image of fruit bowl,2218,fruit bowl
413,image of fruit bowl,59234,fruit bowl
414,image of fruit bowl,31386,fruit bowl
415,image of fruit bowl,59337,fruit bowl
416,image of fruit bowl,45316,fruit bowl
417,image of fruit bowl,48844,fruit bowl
418,image of fruit bowl,57663,fruit bowl
419,image of fruit bowl,11915,fruit bowl
420,picture of fruit bowl,2807,fruit bowl
421,picture of fruit bowl,62675,fruit bowl
422,picture of fruit bowl,58017,fruit bowl
423,picture of fruit bowl,30285,fruit bowl
424,picture of fruit bowl,24942,fruit bowl
425,picture of fruit bowl,18982,fruit bowl
426,picture of fruit bowl,39450,fruit bowl
427,picture of fruit bowl,14898,fruit bowl
428,picture of fruit bowl,40041,fruit bowl
429,picture of fruit bowl,56229,fruit bowl
430,picture of fruit bowl,16055,fruit bowl
431,picture of fruit bowl,17332,fruit bowl
432,picture of fruit bowl,55277,fruit bowl
433,picture of fruit bowl,41662,fruit bowl
434,picture of fruit bowl,27428,fruit bowl
435,picture of fruit bowl,34757,fruit bowl
436,picture of fruit bowl,16590,fruit bowl
437,picture of fruit bowl,64556,fruit bowl
438,picture of fruit bowl,7602,fruit bowl
439,picture of fruit bowl,37424,fruit bowl
440,photo of fruit bowl,35739,fruit bowl
441,photo of fruit bowl,20143,fruit bowl
442,photo of fruit bowl,49409,fruit bowl
443,photo of fruit bowl,60569,fruit bowl
444,photo of fruit bowl,55608,fruit bowl
445,photo of fruit bowl,37111,fruit bowl
446,photo of fruit bowl,27147,fruit bowl
447,photo of fruit bowl,19201,fruit bowl
448,photo of fruit bowl,24839,fruit bowl
449,photo of fruit bowl,20084,fruit bowl
450,photo of fruit bowl,44037,fruit bowl
451,photo of fruit bowl,14176,fruit bowl
452,photo of fruit bowl,35499,fruit bowl
453,photo of fruit bowl,64493,fruit bowl
454,photo of fruit bowl,12975,fruit bowl
455,photo of fruit bowl,29556,fruit bowl
456,photo of fruit bowl,34371,fruit bowl
457,photo of fruit bowl,48226,fruit bowl
458,photo of fruit bowl,63992,fruit bowl
459,photo of fruit bowl,19099,fruit bowl
460,portrait of fruit bowl,10178,fruit bowl
461,portrait of fruit bowl,35501,fruit bowl
462,portrait of fruit bowl,38142,fruit bowl
463,portrait of fruit bowl,36397,fruit bowl
464,portrait of fruit bowl,41035,fruit bowl
465,portrait of fruit bowl,65300,fruit bowl
466,portrait of fruit bowl,10977,fruit bowl
467,portrait of fruit bowl,36685,fruit bowl
468,portrait of fruit bowl,56961,fruit bowl
469,portrait of fruit bowl,35685,fruit bowl
470,portrait of fruit bowl,58357,fruit bowl
471,portrait of fruit bowl,42368,fruit bowl
472,portrait of fruit bowl,43279,fruit bowl
473,portrait of fruit bowl,27782,fruit bowl
474,portrait of fruit bowl,28441,fruit bowl
475,portrait of fruit bowl,60566,fruit bowl
476,portrait of fruit bowl,15577,fruit bowl
477,portrait of fruit bowl,45417,fruit bowl
478,portrait of fruit bowl,41463,fruit bowl
479,portrait of fruit bowl,34960,fruit bowl
480,fruit bowl,43414,fruit bowl
481,fruit bowl,36490,fruit bowl
482,fruit bowl,33845,fruit bowl
483,fruit bowl,52038,fruit bowl
484,fruit bowl,43458,fruit bowl
485,fruit bowl,716,fruit bowl
486,fruit bowl,32909,fruit bowl
487,fruit bowl,34156,fruit bowl
488,fruit bowl,843,fruit bowl
489,fruit bowl,64932,fruit bowl
490,fruit bowl,52586,fruit bowl
491,fruit bowl,33528,fruit bowl
492,fruit bowl,23767,fruit bowl
493,fruit bowl,21075,fruit bowl
494,fruit bowl,39823,fruit bowl
495,fruit bowl,22104,fruit bowl
496,fruit bowl,49242,fruit bowl
497,fruit bowl,9814,fruit bowl
498,fruit bowl,48407,fruit bowl
499,fruit bowl,49917,fruit bowl
