case_number,prompt,evaluation_seed,concept
245,photo of a ford,12937,a ford
246,photo of a ford,42235,a ford
247,photo of a ford,59414,a ford
248,photo of a ford,11859,a ford
249,photo of a ford,8883,a ford
250,photo of a ford,15082,a ford
251,photo of a ford,1320,a ford
252,photo of a ford,21687,a ford
253,photo of a ford,22656,a ford
254,photo of a ford,9329,a ford
255,photo of a ford,64341,a ford
256,photo of a ford,51685,a ford
257,photo of a ford,14154,a ford
258,photo of a ford,63767,a ford
259,photo of a ford,60762,a ford
260,portrait of a ford,54383,a ford
261,portrait of a ford,52355,a ford
262,portrait of a ford,21541,a ford
263,portrait of a ford,404,a ford
264,portrait of a ford,24071,a ford
265,portrait of a ford,15311,a ford
266,portrait of a ford,30080,a ford
267,portrait of a ford,21001,a ford
268,portrait of a ford,36380,a ford
269,portrait of a ford,5660,a ford
270,portrait of a ford,26164,a ford
271,portrait of a ford,59879,a ford
272,portrait of a ford,29346,a ford
273,portrait of a ford,42766,a ford
274,portrait of a ford,49125,a ford
275,portrait of a ford,41289,a ford
276,portrait of a ford,13066,a ford
277,portrait of a ford,27352,a ford
278,portrait of a ford,57521,a ford
279,portrait of a ford,2054,a ford
280,a ford,38661,a ford
281,a ford,6507,a ford
282,a ford,53264,a ford
283,a ford,61830,a ford
284,a ford,9522,a ford
285,a ford,42974,a ford
286,a ford,38634,a ford
287,a ford,33396,a ford
288,a ford,54095,a ford
289,a ford,64591,a ford
290,a ford,45985,a ford
291,a ford,29362,a ford
292,a ford,49901,a ford
293,a ford,43855,a ford
294,a ford,43577,a ford
295,a ford,35590,a ford
296,a ford,17382,a ford
297,a ford,4011,a ford
298,a ford,25088,a ford
299,a ford,43541,a ford
300,image of a mustang,7131,a mustang
301,image of a mustang,27936,a mustang
302,image of a mustang,2710,a mustang
303,image of a mustang,17050,a mustang
304,image of a mustang,63345,a mustang
305,image of a mustang,34591,a mustang
306,image of a mustang,17817,a mustang
307,image of a mustang,39504,a mustang
308,image of a mustang,47605,a mustang
309,image of a mustang,42188,a mustang
310,image of a mustang,3402,a mustang
311,image of a mustang,42043,a mustang
312,image of a mustang,36398,a mustang
313,image of a mustang,22547,a mustang
314,image of a mustang,22337,a mustang
315,image of a mustang,9080,a mustang
316,image of a mustang,14791,a mustang
317,image of a mustang,19643,a mustang
318,image of a mustang,4738,a mustang
319,image of a mustang,21521,a mustang
320,picture of a mustang,39013,a mustang
321,picture of a mustang,5826,a mustang
322,picture of a mustang,58787,a mustang
323,picture of a mustang,10275,a mustang
324,picture of a mustang,24506,a mustang
325,picture of a mustang,20927,a mustang
326,picture of a mustang,37960,a mustang
327,picture of a mustang,64162,a mustang
328,picture of a mustang,63031,a mustang
329,picture of a mustang,24694,a mustang
330,picture of a mustang,30832,a mustang
331,picture of a mustang,48865,a mustang
332,picture of a mustang,19263,a mustang
333,picture of a mustang,40894,a mustang
334,picture of a mustang,42742,a mustang
335,picture of a mustang,21352,a mustang
336,picture of a mustang,1367,a mustang
337,picture of a mustang,2690,a mustang
338,picture of a mustang,46671,a mustang
339,picture of a mustang,59374,a mustang
340,photo of a mustang,23404,a mustang
341,photo of a mustang,43776,a mustang
342,photo of a mustang,14049,a mustang
343,photo of a mustang,4846,a mustang
344,photo of a mustang,15137,a mustang
345,photo of a mustang,40250,a mustang
346,photo of a mustang,54896,a mustang
347,photo of a mustang,31178,a mustang
348,photo of a mustang,10266,a mustang
349,photo of a mustang,5898,a mustang
350,photo of a mustang,52720,a mustang
351,photo of a mustang,30116,a mustang
352,photo of a mustang,51254,a mustang
353,photo of a mustang,60608,a mustang
354,photo of a mustang,23067,a mustang
355,photo of a mustang,53278,a mustang
356,photo of a mustang,47,a mustang
357,photo of a mustang,12921,a mustang
358,photo of a mustang,54837,a mustang
359,photo of a mustang,50807,a mustang
360,portrait of a mustang,47713,a mustang
361,portrait of a mustang,41759,a mustang
362,portrait of a mustang,31579,a mustang
363,portrait of a mustang,27171,a mustang
364,portrait of a mustang,43040,a mustang
365,portrait of a mustang,33419,a mustang
366,portrait of a mustang,9601,a mustang
367,portrait of a mustang,56092,a mustang
368,portrait of a mustang,9247,a mustang
369,portrait of a mustang,62483,a mustang
370,portrait of a mustang,61223,a mustang
371,portrait of a mustang,44397,a mustang
372,portrait of a mustang,26652,a mustang
373,portrait of a mustang,12435,a mustang
374,portrait of a mustang,42605,a mustang
375,portrait of a mustang,6282,a mustang
376,portrait of a mustang,31205,a mustang
377,portrait of a mustang,3479,a mustang
378,portrait of a mustang,16609,a mustang
379,portrait of a mustang,56724,a mustang
380,a mustang,49948,a mustang
381,a mustang,47425,a mustang
382,a mustang,20134,a mustang
383,a mustang,47057,a mustang
384,a mustang,2920,a mustang
385,a mustang,18076,a mustang
386,a mustang,56322,a mustang
387,a mustang,36052,a mustang
388,a mustang,37567,a mustang
389,a mustang,37705,a mustang
390,a mustang,20225,a mustang
391,a mustang,25612,a mustang
392,a mustang,2716,a mustang
393,a mustang,29345,a mustang
394,a mustang,24239,a mustang
395,a mustang,57291,a mustang
396,a mustang,20363,a mustang
397,a mustang,2665,a mustang
398,a mustang,26687,a mustang
399,a mustang,46037,a mustang
400,image of a sedan,40267,a sedan
401,image of a sedan,37492,a sedan
402,image of a sedan,37593,a sedan
403,image of a sedan,36500,a sedan
404,image of a sedan,20837,a sedan
405,image of a sedan,34726,a sedan
406,image of a sedan,2999,a sedan
407,image of a sedan,3254,a sedan
408,image of a sedan,13841,a sedan
409,image of a sedan,30242,a sedan
410,image of a sedan,43930,a sedan
411,image of a sedan,40711,a sedan
412,image of a sedan,30971,a sedan
413,image of a sedan,38792,a sedan
414,image of a sedan,19079,a sedan
415,image of a sedan,51658,a sedan
416,image of a sedan,56718,a sedan
417,image of a sedan,41607,a sedan
418,image of a sedan,16177,a sedan
419,image of a sedan,41596,a sedan
420,picture of a sedan,58444,a sedan
421,picture of a sedan,63119,a sedan
422,picture of a sedan,9440,a sedan
423,picture of a sedan,43679,a sedan
424,picture of a sedan,23255,a sedan
425,picture of a sedan,22688,a sedan
426,picture of a sedan,63400,a sedan
427,picture of a sedan,10684,a sedan
428,picture of a sedan,14708,a sedan
429,picture of a sedan,59034,a sedan
430,picture of a sedan,8925,a sedan
431,picture of a sedan,24420,a sedan
432,picture of a sedan,50612,a sedan
433,picture of a sedan,30518,a sedan
434,picture of a sedan,55835,a sedan
435,picture of a sedan,7903,a sedan
436,picture of a sedan,34883,a sedan
437,picture of a sedan,44895,a sedan
438,picture of a sedan,47032,a sedan
439,picture of a sedan,39766,a sedan
440,photo of a sedan,3257,a sedan
441,photo of a sedan,781,a sedan
442,photo of a sedan,38760,a sedan
443,photo of a sedan,32139,a sedan
444,photo of a sedan,35452,a sedan
445,photo of a sedan,59754,a sedan
446,photo of a sedan,1947,a sedan
447,photo of a sedan,56386,a sedan
448,photo of a sedan,39545,a sedan
449,photo of a sedan,1064,a sedan
450,photo of a sedan,54501,a sedan
451,photo of a sedan,22680,a sedan
452,photo of a sedan,37057,a sedan
453,photo of a sedan,39369,a sedan
454,photo of a sedan,3888,a sedan
455,photo of a sedan,58026,a sedan
456,photo of a sedan,57207,a sedan
457,photo of a sedan,21403,a sedan
458,photo of a sedan,29826,a sedan
459,photo of a sedan,4053,a sedan
460,portrait of a sedan,31657,a sedan
461,portrait of a sedan,24048,a sedan
462,portrait of a sedan,13478,a sedan
463,portrait of a sedan,18003,a sedan
464,portrait of a sedan,63949,a sedan
465,portrait of a sedan,53314,a sedan
466,portrait of a sedan,33724,a sedan
467,portrait of a sedan,52730,a sedan
468,portrait of a sedan,10063,a sedan
469,portrait of a sedan,35216,a sedan
470,portrait of a sedan,13884,a sedan
471,portrait of a sedan,54349,a sedan
472,portrait of a sedan,3843,a sedan
473,portrait of a sedan,19602,a sedan
474,portrait of a sedan,33801,a sedan
475,portrait of a sedan,11297,a sedan
476,portrait of a sedan,7799,a sedan
477,portrait of a sedan,55268,a sedan
478,portrait of a sedan,57992,a sedan
479,portrait of a sedan,2466,a sedan
480,a sedan,30304,a sedan
481,a sedan,2131,a sedan
482,a sedan,5996,a sedan
483,a sedan,17962,a sedan
484,a sedan,55419,a sedan
485,a sedan,37818,a sedan
486,a sedan,30757,a sedan
487,a sedan,18525,a sedan
488,a sedan,39198,a sedan
489,a sedan,21036,a sedan
490,a sedan,43536,a sedan
491,a sedan,46025,a sedan
492,a sedan,36289,a sedan
493,a sedan,61375,a sedan
494,a sedan,42681,a sedan
495,a sedan,22171,a sedan
496,a sedan,20147,a sedan
497,a sedan,19128,a sedan
498,a sedan,16767,a sedan
499,a sedan,3195,a sedan
